date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:34	14852/14852	---M--	200	added ('OK')	application/font-woff	etag:%221203cc-3a04-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/cocon-regular.woff	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/cocon-regular.woff	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:34	26376/26376	---M--	200	added ('OK')	application/x-font-ttf	etag:%221203c4-6708-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Cocon-Regular.ttf	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Cocon-Regular.ttf	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:35	76352/76352	---M--	200	added ('OK')	image/svg+xml	etag:%221203c3-12a40-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Cocon-Regular.svg	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Cocon-Regular.svg	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:35	87244/87244	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221203c5-154cc-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.eot	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.eot	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:35	87244/87244	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221203c5-154cc-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.eot?	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Bookd41d.eot	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:36	25640/25640	---M--	200	added ('OK')	application/font-woff2	etag:%221203c8-6428-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.woff2	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.woff2	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:36	36744/36744	---M--	200	added ('OK')	application/font-woff	etag:%221203c7-8f88-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.woff	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.woff	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:36	87052/87052	---M--	200	added ('OK')	application/x-font-ttf	etag:%221203c6-1540c-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.ttf	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/fonts/Gotham-Book.ttf	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:37	372/372	---M--	200	added ('OK')	image/png	etag:%221203d2-174-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/close.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/close.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:37	1916/1916	---M--	200	added ('OK')	image/png	etag:%221203f2-77c-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/main_slideshow_next.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/main_slideshow_next.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:37	1935/1935	---M--	200	added ('OK')	image/png	etag:%221203f4-78f-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/main_slideshow_prev.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/main_slideshow_prev.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:38	8848/8848	---M--	200	added ('OK')	image/png	etag:%22120406-2290-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/spinner.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/spinner.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:38	254/254	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2009:28:39%20GMT	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/img/arrow-left.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/img/arrow-left.3c.delayed	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:38	255/255	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2009:28:39%20GMT	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/img/arrow-right.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/img/arrow-right.3d.delayed	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:39	1213/1213	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/mapfiles/place_api/icons/museum-71.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:39	384/384	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:39	953/953	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/mapfiles/place_api/icons/airport-71.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/mapfiles/place_api/icons/airport-71.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:39	1030/1030	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:39	1012/1012	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/mapfiles/place_api/icons/train-71.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/mapfiles/place_api/icons/train-71.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:40	5255/5255	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/tactile/directions/omnibox/directions-1x-20150929.png	D:/medip/twicpics/dubai/dubai/room/room/maps.gstatic.com/tactile/directions/omnibox/directions-1x-20150929.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:40	1596/1596	---M--	200	added ('OK')	image/png	etag:%221203d3-63c-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/datepicker.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/datepicker.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
11:28:40	10622/10622	---M--	200	added ('OK')	image/png	etag:%2212040a-297e-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/virtual-tour-icon.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/virtual-tour-icon.png	(from https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css)
